deal_id,market,city,title,category_l1,category_l2,price_usd,rating,num_ratings,is_bookable
D00076,GB,Manchester,Tasting Menu for Two,Food & Drink,dining,176.9,3.5,237,False
D00077,GB,Manchester,Three-Course Meal for Two,Food & Drink,dining,109.3,3.7,155,False
D00078,GB,Manchester,Guided City Tour,Things To Do,activities,84.41,4.2,635,True
D00079,GB,Manchester,Escape Room Experience,Things To Do,activities,80.63,4.3,79,True
D00080,GB,Manchester,Guided City Tour,Things To Do,activities,52.05,4.5,160,False
D00081,GB,Manchester,Personal Training Package,Health & Fitness,fitness,34.83,4.4,515,True
D00082,GB,Manchester,Gym Membership Pass,Health & Fitness,fitness,58.7,4.7,69,True
D00083,GB,Manchester,Unlimited Fitness Classes,Health & Fitness,fitness,50.95,4.0,88,True
D00084,GB,Manchester,Hair Styling & Cut,Beauty & Wellness,beauty,127.43,4.3,247,True
D00085,GB,Manchester,Hair Styling & Cut,Beauty & Wellness,beauty,143.1,3.7,48,False
D00086,GB,Manchester,Facial Treatment,Beauty & Wellness,beauty,88.23,4.3,315,True
D00087,GB,Manchester,Facial Treatment,Beauty & Wellness,beauty,82.76,4.6,226,True
D00088,GB,Manchester,Manicure & Pedicure Package,Beauty & Wellness,beauty,30.58,4.5,294,True
D00089,GB,Birmingham,Relaxing Wellness Session,Beauty & Wellness,massage,46.08,3.9,252,True
D00090,GB,Birmingham,Spa & Massage Treatment,Beauty & Wellness,massage,115.41,4.6,126,True
D00091,GB,Birmingham,Spa & Massage Treatment,Beauty & Wellness,massage,42.92,4.5,262,True
D00092,GB,Birmingham,Relaxing Wellness Session,Beauty & Wellness,massage,118.33,4.4,239,True
D00093,GB,Birmingham,Spa & Massage Treatment,Beauty & Wellness,massage,90.34,4.5,91,True
D00094,GB,Birmingham,Tasting Menu for Two,Food & Drink,dining,74.2,4.0,179,False
D00095,GB,Birmingham,Dinner & Wine Experience,Food & Drink,dining,153.87,4.5,291,True
D00096,GB,Birmingham,Tasting Menu for Two,Food & Drink,dining,78.78,4.2,8,False
D00097,GB,Birmingham,Tasting Menu for Two,Food & Drink,dining,49.46,4.1,184,False
D00098,GB,Birmingham,Dinner & Wine Experience,Food & Drink,dining,33.67,4.4,256,True
D00099,GB,Birmingham,Tasting Menu for Two,Food & Drink,dining,117.14,4.7,330,False
D00100,GB,Birmingham,Escape Room Experience,Things To Do,activities,30.94,4.4,287,True
D00101,GB,Birmingham,Guided City Tour,Things To Do,activities,66.52,4.3,215,False
D00102,GB,Birmingham,Guided City Tour,Things To Do,activities,42.11,4.2,243,True
D00103,GB,Birmingham,Gym Membership Pass,Health & Fitness,fitness,178.26,4.0,81,False
D00104,GB,Birmingham,Unlimited Fitness Classes,Health & Fitness,fitness,42.44,4.1,3,False
D00105,GB,Birmingham,Unlimited Fitness Classes,Health & Fitness,fitness,110.55,4.4,121,False
D00106,GB,Birmingham,Gym Membership Pass,Health & Fitness,fitness,53.84,4.7,306,True
D00107,GB,Birmingham,Unlimited Fitness Classes,Health & Fitness,fitness,24.15,3.9,377,True
D00108,GB,Birmingham,Manicure & Pedicure Package,Beauty & Wellness,beauty,81.29,4.9,9,True
D00109,GB,Birmingham,Facial Treatment,Beauty & Wellness,beauty,126.49,5.0,156,True
D00110,GB,Birmingham,Manicure & Pedicure Package,Beauty & Wellness,beauty,33.48,4.5,224,True
D00111,GB,Birmingham,Manicure & Pedicure Package,Beauty & Wellness,beauty,81.47,3.9,183,True
D00112,GB,Birmingham,Facial Treatment,Beauty & Wellness,beauty,84.09,3.6,297,True
D00113,GB,Birmingham,Manicure & Pedicure Package,Beauty & Wellness,beauty,137.39,4.4,468,True
D00114,GB,Birmingham,Manicure & Pedicure Package,Beauty & Wellness,beauty,20.15,4.4,131,True
D00115,GB,Birmingham,Facial Treatment,Beauty & Wellness,beauty,72.94,4.3,74,False
D00116,GB,Glasgow,Full Body Massage Package,Beauty & Wellness,massage,76.75,4.4,84,True
D00117,GB,Glasgow,Full Body Massage Package,Beauty & Wellness,massage,25.18,4.5,62,True
D00118,GB,Glasgow,Full Body Massage Package,Beauty & Wellness,massage,85.17,3.8,403,True
D00119,GB,Glasgow,Relaxing Wellness Session,Beauty & Wellness,massage,13.26,4.5,119,True
D00120,GB,Glasgow,Spa & Massage Treatment,Beauty & Wellness,massage,177.97,4.4,139,True
D00121,GB,Glasgow,Three-Course Meal for Two,Food & Drink,dining,147.33,5.0,717,True
D00122,GB,Glasgow,Three-Course Meal for Two,Food & Drink,dining,118.79,4.6,100,True
D00123,GB,Glasgow,Dinner & Wine Experience,Food & Drink,dining,30.71,3.7,207,False
D00124,GB,Glasgow,Tasting Menu for Two,Food & Drink,dining,72.44,5.0,616,True
D00125,GB,Glasgow,Dinner & Wine Experience,Food & Drink,dining,159.4,4.4,297,True
D00126,GB,Glasgow,Escape Room Experience,Things To Do,activities,89.7,4.3,78,True
D00127,GB,Glasgow,Guided City Tour,Things To Do,activities,168.13,4.6,309,True
D00128,GB,Glasgow,Guided City Tour,Things To Do,activities,36.56,4.4,124,True
D00129,GB,Glasgow,Gym Membership Pass,Health & Fitness,fitness,95.78,4.6,344,True
D00130,GB,Glasgow,Gym Membership Pass,Health & Fitness,fitness,62.59,4.4,64,True
D00131,GB,Glasgow,Gym Membership Pass,Health & Fitness,fitness,136.01,4.0,176,False
D00132,GB,Glasgow,Personal Training Package,Health & Fitness,fitness,53.35,3.8,69,True
D00133,GB,Glasgow,Gym Membership Pass,Health & Fitness,fitness,161.11,4.5,139,True
D00134,GB,Glasgow,Unlimited Fitness Classes,Health & Fitness,fitness,151.16,3.6,85,True
D00135,GB,Glasgow,Personal Training Package,Health & Fitness,fitness,56.59,4.6,237,False
D00136,GB,Glasgow,Hair Styling & Cut,Beauty & Wellness,beauty,60.08,4.4,154,True
D00137,GB,Glasgow,Facial Treatment,Beauty & Wellness,beauty,16.83,3.6,340,True
D00138,GB,Glasgow,Hair Styling & Cut,Beauty & Wellness,beauty,48.72,4.6,128,True
D00139,GB,Glasgow,Hair Styling & Cut,Beauty & Wellness,beauty,82.65,4.8,218,True
D00140,GB,Glasgow,Hair Styling & Cut,Beauty & Wellness,beauty,74.02,3.9,59,True
D00141,GB,Glasgow,Hair Styling & Cut,Beauty & Wellness,beauty,83.55,4.1,144,True
D00142,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,140.43,4.8,79,True
D00143,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,26.99,4.3,204,False
D00144,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,20.61,4.3,148,True
D00145,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,28.85,4.0,211,True
D00146,DE,Berlin,Wohlfühl-Massage,Beauty & Wellness,massage,109.53,4.5,240,False
D00147,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,169.13,3.9,218,False
D00148,DE,Berlin,Wohlfühl-Massage,Beauty & Wellness,massage,12.63,3.9,4,False
D00149,DE,Berlin,Wohlfühl-Massage,Beauty & Wellness,massage,151.18,4.2,451,True
D00150,DE,Berlin,Wellness-Massage Paket,Beauty & Wellness,massage,117.11,4.4,320,True
D00151,DE,Berlin,3-Gänge-Menü für Zwei,Food & Drink,dining,52.59,4.7,325,True
D00152,DE,Berlin,Degustationsmenü,Food & Drink,dining,99.78,4.5,91,True
D00153,DE,Berlin,Dinner mit Weinbegleitung,Food & Drink,dining,134.75,4.3,142,False
D00154,DE,Berlin,Degustationsmenü,Food & Drink,dining,90.12,4.3,155,True
D00155,DE,Berlin,Degustationsmenü,Food & Drink,dining,56.78,3.5,12,False
D00156,DE,Berlin,Dinner mit Weinbegleitung,Food & Drink,dining,170.76,4.4,193,True
D00157,DE,Berlin,Degustationsmenü,Food & Drink,dining,160.29,4.3,3,True
D00158,DE,Berlin,3-Gänge-Menü für Zwei,Food & Drink,dining,163.3,4.4,494,True
D00159,DE,Berlin,Escape Room Erlebnis,Things To Do,activities,157.46,3.7,149,True
D00160,DE,Berlin,Stadtführung,Things To Do,activities,58.73,4.5,268,False
D00161,DE,Berlin,Kartbahn Rennen,Things To Do,activities,24.55,4.5,63,False
D00162,DE,Berlin,Kartbahn Rennen,Things To Do,activities,161.56,4.4,152,True
D00163,DE,Berlin,Escape Room Erlebnis,Things To Do,activities,167.96,3.8,292,True
D00164,DE,Berlin,Stadtführung,Things To Do,activities,110.52,4.6,156,False
D00165,DE,Berlin,Escape Room Erlebnis,Things To Do,activities,175.78,4.3,69,True
D00166,DE,Berlin,Escape Room Erlebnis,Things To Do,activities,110.89,4.3,55,True
D00167,DE,Berlin,Kartbahn Rennen,Things To Do,activities,103.51,4.1,140,False
D00168,DE,Berlin,Escape Room Erlebnis,Things To Do,activities,21.37,4.3,63,False
D00169,DE,Berlin,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,75.15,3.7,255,True
D00170,DE,Berlin,Personal Training Paket,Health & Fitness,fitness,30.88,4.5,237,True
D00171,DE,Berlin,Personal Training Paket,Health & Fitness,fitness,31.28,4.2,234,False
D00172,DE,Berlin,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,102.03,4.7,53,False
D00173,DE,Berlin,Unbegrenzte Kurse,Health & Fitness,fitness,166.78,4.3,262,False
D00174,DE,Berlin,Unbegrenzte Kurse,Health & Fitness,fitness,115.83,5.0,228,False
D00175,DE,Berlin,Personal Training Paket,Health & Fitness,fitness,82.86,3.8,141,True
D00176,DE,Berlin,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,50.13,4.4,233,False
D00177,DE,Berlin,Personal Training Paket,Health & Fitness,fitness,105.46,4.9,166,True
D00178,DE,Berlin,Maniküre & Pediküre,Beauty & Wellness,beauty,131.51,3.5,32,False
D00179,DE,Berlin,Gesichtsbehandlung,Beauty & Wellness,beauty,89.27,4.9,273,False
D00180,DE,Berlin,Maniküre & Pediküre,Beauty & Wellness,beauty,30.81,4.0,423,True
D00181,DE,Berlin,Haarschnitt & Styling,Beauty & Wellness,beauty,31.68,4.2,310,False
D00182,DE,Berlin,Haarschnitt & Styling,Beauty & Wellness,beauty,131.84,5.0,19,True
D00183,DE,Berlin,Gesichtsbehandlung,Beauty & Wellness,beauty,160.53,4.4,10,False
D00184,DE,Berlin,Haarschnitt & Styling,Beauty & Wellness,beauty,60.67,4.8,218,False
D00185,DE,Berlin,Haarschnitt & Styling,Beauty & Wellness,beauty,24.06,3.5,83,False
D00186,DE,Berlin,Gesichtsbehandlung,Beauty & Wellness,beauty,168.74,5.0,139,False
D00187,DE,Berlin,Haarschnitt & Styling,Beauty & Wellness,beauty,72.14,4.4,366,False
D00188,DE,Berlin,Gesichtsbehandlung,Beauty & Wellness,beauty,54.45,4.3,114,True
D00189,DE,Berlin,Maniküre & Pediküre,Beauty & Wellness,beauty,90.21,4.7,74,False
D00190,DE,München,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,163.96,4.8,385,False
D00191,DE,München,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,80.98,4.4,119,True
D00192,DE,München,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,140.06,3.9,5,False
D00193,DE,München,3-Gänge-Menü für Zwei,Food & Drink,dining,155.68,4.6,221,False
D00194,DE,München,Dinner mit Weinbegleitung,Food & Drink,dining,75.79,4.3,207,True
D00195,DE,München,Degustationsmenü,Food & Drink,dining,26.19,4.0,204,False
D00196,DE,München,Degustationsmenü,Food & Drink,dining,145.15,5.0,202,False
D00197,DE,München,Dinner mit Weinbegleitung,Food & Drink,dining,22.39,5.0,161,True
D00198,DE,München,Dinner mit Weinbegleitung,Food & Drink,dining,125.32,4.8,77,True
D00199,DE,München,3-Gänge-Menü für Zwei,Food & Drink,dining,103.48,4.1,143,True
D00200,DE,München,Kartbahn Rennen,Things To Do,activities,15.12,4.2,305,True
D00201,DE,München,Stadtführung,Things To Do,activities,95.66,3.5,418,True
D00202,DE,München,Stadtführung,Things To Do,activities,163.84,4.4,156,True
D00203,DE,München,Kartbahn Rennen,Things To Do,activities,95.5,5.0,24,False
D00204,DE,München,Kartbahn Rennen,Things To Do,activities,114.45,4.6,509,True
D00205,DE,München,Stadtführung,Things To Do,activities,43.41,3.8,90,True
D00206,DE,München,Escape Room Erlebnis,Things To Do,activities,102.5,5.0,247,True
D00207,DE,München,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,60.77,4.2,135,False
D00208,DE,München,Gesichtsbehandlung,Beauty & Wellness,beauty,67.27,4.3,192,False
D00209,DE,München,Gesichtsbehandlung,Beauty & Wellness,beauty,128.41,4.4,339,True
D00210,DE,München,Gesichtsbehandlung,Beauty & Wellness,beauty,55.25,4.7,93,False
D00211,DE,München,Maniküre & Pediküre,Beauty & Wellness,beauty,59.59,4.2,267,True
D00212,DE,München,Gesichtsbehandlung,Beauty & Wellness,beauty,99.7,3.7,69,True
D00213,DE,München,Gesichtsbehandlung,Beauty & Wellness,beauty,153.77,4.3,427,True
D00214,DE,Hamburg,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,91.82,4.1,291,False
D00215,DE,Hamburg,Wohlfühl-Massage,Beauty & Wellness,massage,35.83,3.7,511,False
D00216,DE,Hamburg,Degustationsmenü,Food & Drink,dining,167.96,5.0,186,True
D00217,DE,Hamburg,Dinner mit Weinbegleitung,Food & Drink,dining,154.86,4.2,329,False
D00218,DE,Hamburg,Degustationsmenü,Food & Drink,dining,104.83,4.5,42,False
D00219,DE,Hamburg,Stadtführung,Things To Do,activities,135.01,4.3,98,False
D00220,DE,Hamburg,Escape Room Erlebnis,Things To Do,activities,20.75,4.1,216,True
D00221,DE,Hamburg,Escape Room Erlebnis,Things To Do,activities,125.05,4.9,438,True
D00222,DE,Hamburg,Stadtführung,Things To Do,activities,50.1,4.2,409,True
D00223,DE,Hamburg,Kartbahn Rennen,Things To Do,activities,30.73,4.2,169,True
D00224,DE,Hamburg,Unbegrenzte Kurse,Health & Fitness,fitness,155.7,5.0,369,True
D00225,DE,Hamburg,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,157.1,4.2,251,True
D00226,DE,Hamburg,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,43.72,4.3,136,False
D00227,DE,Hamburg,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,57.26,3.7,128,False
D00228,DE,Hamburg,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,143.56,4.5,185,False
D00229,DE,Hamburg,Personal Training Paket,Health & Fitness,fitness,63.57,4.1,76,True
D00230,DE,Hamburg,Gesichtsbehandlung,Beauty & Wellness,beauty,38.48,4.2,205,False
D00231,DE,Hamburg,Gesichtsbehandlung,Beauty & Wellness,beauty,46.4,4.1,155,False
D00232,DE,Hamburg,Maniküre & Pediküre,Beauty & Wellness,beauty,105.05,4.6,63,False
D00233,DE,Hamburg,Gesichtsbehandlung,Beauty & Wellness,beauty,51.47,4.1,239,False
D00234,DE,Hamburg,Haarschnitt & Styling,Beauty & Wellness,beauty,66.31,4.1,315,False
D00235,DE,Köln,Wohlfühl-Massage,Beauty & Wellness,massage,87.18,4.7,251,True
D00236,DE,Köln,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,149.06,4.1,34,True
D00237,DE,Köln,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,105.19,4.3,109,False
D00238,DE,Köln,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,129.46,4.5,31,False
D00239,DE,Köln,Wohlfühl-Massage,Beauty & Wellness,massage,145.13,4.9,54,False
D00240,DE,Köln,Wohlfühl-Massage,Beauty & Wellness,massage,92.52,4.7,446,True
D00241,DE,Köln,Entspannungs-Behandlung im Spa,Beauty & Wellness,massage,163.14,4.6,65,True
D00242,DE,Köln,Degustationsmenü,Food & Drink,dining,123.35,4.0,139,True
D00243,DE,Köln,3-Gänge-Menü für Zwei,Food & Drink,dining,77.31,4.4,288,False
D00244,DE,Köln,Degustationsmenü,Food & Drink,dining,40.53,4.3,95,True
D00245,DE,Köln,3-Gänge-Menü für Zwei,Food & Drink,dining,145.59,4.3,66,False
D00246,DE,Köln,Dinner mit Weinbegleitung,Food & Drink,dining,141.6,4.2,92,False
D00247,DE,Köln,Dinner mit Weinbegleitung,Food & Drink,dining,156.79,4.6,163,True
D00248,DE,Köln,Dinner mit Weinbegleitung,Food & Drink,dining,143.44,4.2,266,False
D00249,DE,Köln,Kartbahn Rennen,Things To Do,activities,84.73,4.4,194,False
D00250,DE,Köln,Escape Room Erlebnis,Things To Do,activities,76.41,3.9,131,True
D00251,DE,Köln,Escape Room Erlebnis,Things To Do,activities,38.25,4.6,46,True
D00252,DE,Köln,Escape Room Erlebnis,Things To Do,activities,92.08,4.4,17,True
D00253,DE,Köln,Escape Room Erlebnis,Things To Do,activities,94.16,4.3,206,False
D00254,DE,Köln,Unbegrenzte Kurse,Health & Fitness,fitness,166.43,3.9,250,True
D00255,DE,Köln,Personal Training Paket,Health & Fitness,fitness,98.45,4.6,228,False
D00256,DE,Köln,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,121.42,3.8,132,False
D00257,DE,Köln,Unbegrenzte Kurse,Health & Fitness,fitness,114.23,4.7,36,False
D00258,DE,Köln,Unbegrenzte Kurse,Health & Fitness,fitness,113.86,4.8,206,False
D00259,DE,Köln,Unbegrenzte Kurse,Health & Fitness,fitness,138.97,3.5,241,True
D00260,DE,Köln,Fitnessstudio Mitgliedschaft,Health & Fitness,fitness,132.09,4.5,686,False
D00261,DE,Köln,Haarschnitt & Styling,Beauty & Wellness,beauty,61.0,4.2,106,False
D00262,DE,Köln,Maniküre & Pediküre,Beauty & Wellness,beauty,91.03,4.7,107,True
D00263,DE,Köln,Haarschnitt & Styling,Beauty & Wellness,beauty,17.25,4.5,329,False
D00264,FR,Paris,Modelage Détente,Beauty & Wellness,massage,70.94,4.2,516,False
D00265,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,161.01,4.6,435,True
D00266,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,119.5,4.1,208,True
D00267,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,144.17,4.4,176,True
D00268,FR,Paris,Modelage Détente,Beauty & Wellness,massage,126.71,4.2,25,False
D00269,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,23.48,4.8,261,False
D00270,FR,Paris,Modelage Détente,Beauty & Wellness,massage,27.52,3.6,236,True
D00271,FR,Paris,Modelage Détente,Beauty & Wellness,massage,22.99,4.8,332,False
D00272,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,148.44,4.0,153,False
D00273,FR,Paris,Modelage Détente,Beauty & Wellness,massage,104.05,4.4,57,True
D00274,FR,Paris,Séance Spa Relaxante,Beauty & Wellness,massage,142.16,4.9,140,True
D00275,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,135.02,3.9,166,True
D00276,FR,Paris,Forfait Massage Bien-être,Beauty & Wellness,massage,50.98,4.6,8,True
D00277,FR,Paris,Dîner avec Vin,Food & Drink,dining,105.3,4.2,456,True
D00278,FR,Paris,Menu Dégustation,Food & Drink,dining,155.62,4.1,28,True
D00279,FR,Paris,Menu 3 Plats pour Deux,Food & Drink,dining,175.21,3.9,347,True
D00280,FR,Paris,Menu 3 Plats pour Deux,Food & Drink,dining,146.53,4.8,525,False
D00281,FR,Paris,Menu 3 Plats pour Deux,Food & Drink,dining,93.55,4.6,391,False
D00282,FR,Paris,Dîner avec Vin,Food & Drink,dining,142.52,4.1,12,False
D00283,FR,Paris,Menu 3 Plats pour Deux,Food & Drink,dining,15.93,4.1,230,True
D00284,FR,Paris,Dîner avec Vin,Food & Drink,dining,99.29,3.9,114,False
D00285,FR,Paris,Expérience Escape Game,Things To Do,activities,52.41,4.4,92,True
D00286,FR,Paris,Session Karting,Things To Do,activities,97.71,5.0,336,True
D00287,FR,Paris,Expérience Escape Game,Things To Do,activities,39.3,4.6,521,True
D00288,FR,Paris,Visite Guidée,Things To Do,activities,51.62,4.7,376,False
D00289,FR,Paris,Expérience Escape Game,Things To Do,activities,95.64,4.7,165,True
D00290,FR,Paris,Expérience Escape Game,Things To Do,activities,114.85,3.9,32,True
D00291,FR,Paris,Expérience Escape Game,Things To Do,activities,45.06,4.3,58,True
D00292,FR,Paris,Visite Guidée,Things To Do,activities,117.13,4.6,70,True
D00293,FR,Paris,Visite Guidée,Things To Do,activities,45.45,4.2,387,False
D00294,FR,Paris,Visite Guidée,Things To Do,activities,58.36,4.7,89,True
D00295,FR,Paris,Expérience Escape Game,Things To Do,activities,22.94,3.9,253,True
D00296,FR,Paris,Expérience Escape Game,Things To Do,activities,88.27,3.9,345,False
D00297,FR,Paris,Visite Guidée,Things To Do,activities,169.5,4.1,137,True
D00298,FR,Paris,Coaching Personnel,Health & Fitness,fitness,59.22,4.3,78,False
D00299,FR,Paris,Coaching Personnel,Health & Fitness,fitness,16.04,4.2,459,True
D00300,FR,Paris,Coaching Personnel,Health & Fitness,fitness,151.76,4.9,148,True
D00301,FR,Paris,Abonnement Salle de Sport,Health & Fitness,fitness,78.09,4.2,110,True
D00302,FR,Paris,Cours Illimités,Health & Fitness,fitness,164.34,4.7,126,True
